framework,run,first-contentful-paint,largest-contentful-paint,total-blocking-time,server-response-time,speed-index,first-meaningful-paint,dom-content-loaded,interactive,max-potential-fid,bootup-time
react,1,1977.6541499999998,2099.65415,50.0,2.4250000000000003,1977.6541499999998,1977.6541499999998,170,2102.65415,92.0,183.11599999999999
react,2,1957.4338750000002,2108.92065,11.5,1.55,1957.4338750000002,1957.4338750000002,102,1993.9338750000002,73.0,119.81600000000002
react,3,1956.9144,2060.9144,0.0,2.885,1956.9144,1956.9144,57,1956.9144,48.999999999999886,107.85200000000002
react,4,1956.86475,2108.2376999999997,7.5,2.949,1956.86475,1956.86475,61,1989.36475,65.0,118.78000000000002
react,5,1955.475125,2106.5701500000005,0.0,2.49,1955.475125,1955.475125,48,1955.475125,50.0,89.65600000000003
react,6,1955.0720000000001,2106.0864,3.0,2.333,1955.0720000000001,1955.0720000000001,48,1983.0720000000001,56.0,111.82000000000001
react,7,1954.28675,2105.1441,1.0,2.1769999999999996,1954.28675,1954.28675,48,1980.28675,52.0,91.24800000000009
react,8,1955.4071250000002,2106.48855,2.0,2.6439999999999997,1955.4071250000002,1955.4071250000002,57,1993.6628500000002,1357.0,99.31200000000007
react,9,1973.63175,2080.63175,45.061375,2.363,1973.63175,1973.63175,102,2118.693125,88.0,161.10799999999992
react,10,1954.73075,2105.6769,3.0,2.567,1954.73075,1954.73075,53,2007.73075,56.0,120.24400000000004
react,11,1956.0991250000002,2107.31895,0.0,2.665,1956.0991250000002,1956.0991250000002,49,1956.0991250000002,47.0,89.16400000000007
react,12,1963.89435,2061.89435,4.0,2.009,1963.89435,1963.89435,99,2012.89435,57.999999999999886,109.23200000000004
react,13,1955.659375,2106.79125,16.000000000000114,2.4690000000000003,1955.659375,1955.659375,54,2059.79125,82.00000000000023,123.47200000000004
react,14,2300.1115,2300.1115,0.0,2.605,2300.1115,2300.1115,161,2300.1115,41.0,90.07999999999996
react,15,1969.789625,2123.74755,9.5,3.399,1969.789625,1969.789625,73,2004.289625,69.0,122.54799999999997
react,16,1954.584125,2105.50095,0.0,1.819,1954.584125,1954.584125,44,1954.584125,42.0,85.25600000000006
react,17,1955.3345,2106.4013999999997,2.0,2.597,1955.3345,1955.3345,49,1982.3345,54.0,110.83200000000001
react,18,1956.3055,2107.5666,0.0,3.313,1956.3055,1956.3055,48,1956.3055,47.0,94.1040000000001
react,19,1958.1606,2074.1606,0.0,2.826,1958.1606,1958.1606,62,1958.1606,41.0,88.10400000000006
react,20,1957.086375,2108.50365,9.5,3.712,1957.086375,1957.086375,60,1991.586375,69.0,105.60800000000005
react,21,1957.40225,2108.8827,1.5,2.1710000000000003,1957.40225,1957.40225,61,1983.90225,53.0,108.77200000000005
react,22,1955.575,2106.69,0.0,2.513,1955.575,1955.575,51,1955.575,47.0,103.75200000000004
react,23,1954.6311249999999,2105.55735,0.0,2.334,1954.6311249999999,1954.6311249999999,44,1954.6311249999999,46.0,92.11200000000001
react,24,1955.242375,2106.2908500000003,0.0,2.375,1955.242375,1955.242375,49,1955.242375,42.0,88.77599999999998
react,25,1956.0921250000001,1956.0921250000001,0.0,2.87,1956.0921250000001,1956.0921250000001,46,1956.0921250000001,43.0,103.47200000000007
react,26,1956.66925,2108.0031,0.0,3.0620000000000003,1956.66925,1956.66925,56,1956.66925,47.0,98.78000000000004
react,27,1954.60995,2050.60995,0.0,1.695,1954.60995,1954.60995,46,1954.60995,40.0,87.98400000000001
react,28,1955.744,2106.8927999999996,0.0,2.6919999999999997,1955.744,1955.744,46,1955.744,43.0,113.14799999999998
react,29,1954.347875,2105.21745,0.0,1.6,1954.347875,1954.347875,51,1954.347875,43.0,90.38800000000002
react,30,1954.277125,2105.1325500000003,0.0,3.0300000000000002,1954.277125,1954.277125,47,1954.277125,48.0,87.67200000000003
react,31,1955.29,2106.348,0.0,2.617,1955.29,1955.29,46,1955.29,50.0,114.56400000000001
react,32,1953.987,2104.7843999999996,0.0,1.5130000000000001,1953.987,1953.987,50,1953.987,42.0,91.32000000000002
react,33,1958.222875,2109.8674499999997,9.0,2.9080000000000004,1958.222875,1958.222875,92,1992.222875,68.0,120.84800000000001
react,34,1955.36425,2106.4371,0.5,2.311,1955.36425,1955.36425,46,1980.86425,51.0,107.78000000000003
react,35,1955.729,2106.8748,0.0,2.551,1955.729,1955.729,47,1955.729,43.0,92.636
react,36,1954.987625,2105.98515,0.0,2.3,1954.987625,1954.987625,43,1954.987625,45.0,96.62000000000006
react,37,1954.923875,2105.9086500000003,0.0,2.4330000000000003,1954.923875,1954.923875,46,1954.923875,46.0,102.91600000000001
react,38,1955.4386249999998,2106.52635,6.0,2.291,1955.4386249999998,1955.4386249999998,55,1986.4386249999998,62.0,108.73200000000007
react,39,1984.349,2141.2187999999996,387.0,9.578,1984.349,1984.3490000000002,139,2478.2188,260.0,428.0360000000002
react,40,1955.583375,2106.70005,0.0,2.7289999999999996,1955.583375,1955.583375,49,1955.583375,48.0,99.45600000000005
react,41,1957.0545,2052.0545,0.0,2.5140000000000002,1957.0545,1957.0545,53,1957.0545,48.0,91.86399999999998
react,42,1954.8221250000001,2105.78655,0.0,2.427,1954.8221250000001,1954.8221250000001,45,1954.8221250000001,42.0,103.79200000000006
react,43,1954.7484000000002,2061.2484,0.0,2.267,1954.7484000000002,1954.7484000000002,55,1954.7484000000002,49.0,100.588
react,44,1956.8561249999998,2108.22735,5.5,3.726,1956.8561249999998,1956.8561249999998,49,1987.3561249999998,61.0,109.52800000000008
react,45,1956.925125,2108.3101500000002,0.0,2.5829999999999997,1956.925125,1956.925125,53,1956.925125,47.0,99.26800000000007
react,46,1956.547375,2107.85685,5.5,2.954,1956.547375,1956.547375,63,1987.047375,61.0,100.66800000000009
react,47,1954.81525,2105.7783,0.0,2.104,1954.81525,1954.81525,45,1954.81525,43.0,88.25200000000004
react,48,1956.297,2107.5564000000004,0.0,3.041,1956.297,1956.297,61,1956.297,48.0,93.81600000000007
react,49,1954.800375,2105.7604499999998,6.0,2.319,1954.800375,1954.800375,50,1985.800375,62.0,98.95200000000006
react,50,1956.6556500000002,2053.15565,114.0,2.226,1956.6556500000002,1956.6556500000002,67,2170.65565,116.0,223.24800000000002
react,51,1955.104375,2106.12525,0.0,2.672,1955.104375,1955.104375,46,1955.104375,48.0,93.54000000000005
react,52,1955.3960000000002,2106.4752,0.0,2.489,1955.3960000000002,1955.3960000000002,50,1955.3960000000002,40.0,83.53600000000003
react,53,1955.890375,2107.0684499999998,0.0,2.788,1955.890375,1955.890375,49,1955.890375,42.0,90.72799999999997
react,54,1955.280375,2106.33645,0.0,2.647,1955.280375,1955.280375,46,1955.280375,44.0,88.88000000000007
react,55,1956.062875,2107.27545,69.0,2.865,1956.062875,1956.062875,64,2076.27545,119.0,159.5240000000001
react,56,1956.915125,2108.2981499999996,0.0,2.7009999999999996,1956.915125,1956.915125,48,1956.915125,45.0,90.49600000000004
react,57,1955.0149999999999,2106.018,62.0,1.868,1955.0149999999999,1955.0149999999999,77,2068.018,112.0,166.2120000000001
react,58,1977.4395,2096.9394999999995,79.0,2.061,1977.4395,1977.4395,105,2106.4395,129.0,174.528
react,59,1957.11825,2057.11825,1.0,2.564,1957.11825,1957.11825,50,1983.11825,52.0,111.36000000000004
react,60,1955.31,2106.3720000000003,0.0,2.677,1955.31,1955.31,44,1955.31,46.0,82.30800000000006
react,61,1956.4275,2053.4275000000002,0.0,2.1900000000000004,1956.4275,1956.4275,52,1956.4275,48.0,112.07600000000004
react,62,1954.740375,2105.68845,0.0,2.0909999999999997,1954.740375,1954.740375,43,1954.740375,48.0,109.86000000000001
react,63,1980.227875,2108.3646,0.0,2.338,1980.227875,1980.227875,42,1980.227875,41.0,92.81600000000006
react,64,1954.906375,2105.8876499999997,0.0,1.8949999999999998,1954.906375,1954.906375,44,1954.906375,41.0,85.07600000000005
react,65,1955.300875,2106.3610500000004,0.0,2.574,1955.300875,1955.300875,47,1955.300875,46.0,91.07200000000003
react,66,1955.749375,2106.8992500000004,0.0,2.677,1955.749375,1955.749375,48,1955.749375,44.0,90.81600000000007
react,67,1956.3229999999999,2107.5876,0.0,2.642,1956.3229999999999,1956.3229999999999,51,1956.3229999999999,47.0,91.988
react,68,1954.719375,2105.6632499999996,0.0,2.0829999999999997,1954.719375,1954.719375,45,1954.719375,43.0,90.48400000000001
react,69,1954.819,2105.7828,0.0,2.169,1954.819,1954.819,42,1954.819,47.0,100.42000000000003
react,70,1954.7562,2050.2562000000003,0.0,1.9200000000000002,1954.7562,1954.7562,49,1954.7562,42.0,95.24800000000005
react,71,1956.027,2107.2324,0.0,2.8070000000000004,1956.027,1956.027,49,1956.027,50.0,119.14400000000006
react,72,1956.41805,2054.41805,0.0,2.421,1956.41805,1956.41805,52,1956.41805,45.0,90.90799999999999
